"","SYMBOL","ENTREZID"
"1","DDX6","1656"
"2","CA2","760"
"3","BCHE","590"
"4","PRDX5","25824"
"5","PIM1","5292"
"6","RIDA","10247"
"7","CDK2","1017"
"8","CA1","759"
"9","BCAT2","587"
"10","CFD","1675"
"11","AMY1A","276"
"12","AMY1B","277"
"13","AMY1C","278"
"14","SRC","6714"
"15","PNPO","55163"
"16","ANG","283"
"17","PTPN1","5770"
"18","PSPH","5723"
"19","PDE4D","5144"
"20","TYMP","1890"
"21","B3GAT1","27087"
"22","NOS3","4846"
"23","GATM","2628"
"24","CHEK1","1111"
"25","HSP90AA1","3320"
"26","CTSK","1513"
"27","ISG20","3669"
"28","CCNA2","890"
"29","PCK1","5105"
"30","RNASE4","6038"
"31","PLAU","5328"
"32","CBR1","873"
"33","IMPDH2","3615"
"34","F2","2147"
"35","OTC","5009"
"36","CPB1","1360"
"37","C8G","733"
"38","AHCY","191"
"39","SOD2","6648"
"40","TPI1","7167"
"41","TNK2","10188"
"42","HMGCR","3156"
"43","GSK3B","2932"
"44","RHOA","387"
"45","IMPA1","3612"
"46","MAPK14","1432"
"47","PNP","4860"
"48","JAK2","3717"
"49","CDA","978"
"50","NR1H2","7376"
"51","CTSV","1515"
"52","PPIA","5478"
"53","GSTP1","2950"
"54","TGFBR2","7048"
"55","PDE4B","5142"
"56","EGFR","1956"
"57","CTSD","1509"
"58","MTAP","4507"
"59","RTN4R","65078"
"60","TREM1","54210"
"61","NUDT9","53343"
"62","QPCT","25797"
"63","ICAM2","3384"
"64","CA12","771"
"65","FAP","2191"
"66","MAOB","4129"
"67","SNRPA","6626"
"68","PGR","5241"
"69","CTSB","1508"
"70","SORD","6652"
"71","HSPA8","3312"
"72","APCS","325"
"73","PLA2G10","8399"
"74","EPHB4","2050"
"75","DHFR","1719"
"76","FCAR","2204"
"77","CSNK2A1","1457"
"78","ITGAL","3683"
"79","MAPKAPK2","9261"
"80","CASP7","840"
"81","CES1","1066"
"82","HSD17B1","3292"
"83","BACE1","23621"
"84","SULT2A1","6822"
"85","CLPP","8192"
"86","GC","2638"
"87","FNTA","2339"
"88","ALB","213"
"89","DPP4","1803"
"90","MMP3","4314"
"91","PPARG","5468"
"92","DUSP6","1848"
"93","PPP5C","5536"
"94","TNNC1","7134"
"95","ESRRG","2104"
"96","DHODH","1723"
"97","AKR1B1","231"
"98","HSD11B1","3290"
"99","NR3C2","4306"
"100","CMA1","1215"
"101","TGFBR1","7046"
"102","MAPK8","5599"
"103","MIF","4282"
"104","FGFR1","2260"
"105","KDR","3791"
"106","PLK1","5347"
"107","REN","5972"
