"","SYMBOL","ENTREZID"
"1","PPIA","5478"
"2","MMP3","4314"
"3","CCNA2","890"
"4","MAPK14","1432"
"5","MAPK1","5594"
"6","F2","2147"
"7","CDK5R1","8851"
"8","MAPK10","5602"
"9","HSP90AA1","3320"
"10","CDK2","1017"
"11","CTSD","1509"
"12","CFB","629"
"13","LTA4H","4048"
"14","PPARG","5468"
"15","PDE5A","8654"
"16","CES1","1066"
"17","MAPK8","5599"
"18","CA2","760"
"19","GSTP1","2950"
"20","NR1H2","7376"
"21","TREM1","54210"
"22","BCHE","590"
"23","BACE1","23621"
"24","FKBP1A","2280"
"25","ESR1","2099"
"26","MAPKAPK2","9261"
"27","MAOB","4129"
"28","PIM1","5292"
"29","AURKA","6790"
"30","PGR","5241"
"31","FGFR1","2260"
"32","CHEK1","1111"
"33","QPCT","25797"
"34","YARS1","8565"
"35","PNP","4860"
"36","DAPK1","1612"
"37","EGFR","1956"
"38","TGFBR1","7046"
"39","KIF11","3832"
"40","ANXA5","308"
"41","DCK","1633"
"42","RXRA","6256"
"43","AMD1","262"
"44","AKR1B1","231"
"45","C1R","715"
"46","CHIT1","1118"
"47","SRC","6714"
"48","NOS3","4846"
