"","SYMBOL","ENTREZID"
"1","ACY1","95"
"2","AGL","178"
"3","AK2","204"
"4","AKR1C3","8644"
"5","ALAD","210"
"6","AMD1","262"
"7","AMY2A","279"
"8","ANK2","287"
"9","ANK3","288"
"10","ANKRD26","22852"
"11","ANKRD55","79722"
"12","ANKS6","203286"
"13","APTX","54840"
"14","ASB10","136371"
"16","BMP1","649"
"17","C7","730"
"18","CAPN3","825"
"19","CARD14","79092"
"20","CD59","966"
"21","CHD2","1106"
"22","CHRNA4","1137"
"23","CLMP","79827"
"24","CNTN1","1272"
"25","COL11A1","1301"
"26","COL17A1","1308"
"27","COL25A1","84570"
"28","COL27A1","85301"
"29","COL4A2","1284"
"30","COL4A3","1285"
"31","COL9A1","1297"
"32","COL9A2","1298"
"33","COL9A3","1299"
"34","CTCF","10664"
"35","DBH","1621"
"36","DDR2","4921"
"37","DLG3","1741"
"38","EGR2","1959"
"39","EIF2AK4","440275"
"40","ETFDH","2110"
"41","FCER2","2208"
"42","FEZF1","389549"
"43","FGF20","26281"
"44","FMO3","2328"
"45","GBA2","57704"
"46","GDF1","2657"
"47","GFI1","2672"
"48","GFI1B","8328"
"50","GLIS2","84662"
"51","GM2A","2760"
"52","GRIA2","2891"
"53","GRK1","6011"
"54","GSTM2","2946"
"55","GUCA1A","2978"
"56","HACE1","57531"
"57","HIC1","3090"
"58","HK1","3098"
"59","IDH3B","3420"
"60","IGSF3","3321"
"61","IKZF1","10320"
"62","IL1A","3552"
"63","IL4","3565"
"64","INVS","27130"
"65","KANK1","23189"
"66","KCNA5","3741"
"67","KLF1","10661"
"68","KLF13","51621"
"69","KRT6B","3854"
"70","KRT85","3891"
"71","LDHA","3939"
"72","LRP6","4040"
"73","MCL1","4170"
"74","MECOM","2122"
"75","MIB1","57534"
"76","MLPH","79083"
"77","MRPL3","11222"
"78","NAGA","4668"
"79","NDUFS4","4724"
"80","NEUROD1","4760"
"81","NIN","51199"
"82","NQO1","1728"
"83","NR5A1","2516"
"84","ODC1","4953"
"85","PAX8","7849"
"86","PEX13","5194"
"87","PHF21A","51317"
"88","PHGDH","26227"
"89","PLAG1","5324"
"90","PLAGL1","5325"
"91","PLCG2","5336"
"92","POGZ","23126"
"93","POU2AF1","5450"
"94","PRDM16","63976"
"95","PRDM8","56978"
"96","PSMB8","5696"
"97","PTS","5805"
"98","REG1A","5967"
"99","RENBP","5973"
"100","REST","5978"
"101","RFXANK","8625"
"102","RFXAP","5994"
"103","RPL11","6135"
"104","RPL21","6144"
"105","RPL26","6154"
"106","SFTPA2","729238"
"107","SLC2A10","81031"
"108","SLC35A1","10559"
"109","SLC36A2","153201"
"110","SLC38A8","146167"
"111","SMAD9","4093"
"112","SRC","6714"
"113","SREBF1","6720"
"114","SRPX2","27286"
"115","STAT2","6773"
"116","SYT2","127833"
"117","TBK1","29110"
"118","TF","7018"
"119","TLL1","7092"
"120","TNFAIP3","7128"
"121","TREH","11181"
"122","TRIP11","9321"
"123","TSG101","7251"
"124","UNC119","9094"
"125","VCAN","1462"
"126","VWF","7450"
"127","WNT10B","7480"
"128","ZBTB42","100128927"
"129","ZFP57","346171"
"130","ZFPM2","23414"
"131","ZIC2","7546"
"132","ZIC3","7547"
